letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgey,yedge,yedgex
N,23.0,22.0,18,24,203,-0.030925013683634442,0.003694581280788108,48.61576354679803,47.793103448275865,9.152709359605911,9.645320197044335,-27.261083743842363,6.0,2484,2.75,1487
O,24.5,21.5,23,25,202,-0.0006457167455876221,-0.002178217821782198,60.754950495049506,65.12128712871286,0.08168316831683169,10.456683168316832,-5.142326732673268,4.0,2129,3.48,2019
P,23.0,22.0,18,24,175,-0.11619047619047625,-0.125,43.2,51.8,-8.165714285714285,-87.66285714285715,-120.44,4.388888888888889,1871,3.2083333333333335,1726
Q,24.5,22.5,23,27,224,0.020186335403726753,0.004298941798941742,58.964285714285715,70.26785714285714,6.714285714285714,17.770089285714285,57.0,4.173913043478261,2175,3.4444444444444446,2202
R,24.0,22.0,20,24,216,-0.05856481481481488,-0.049768518518518455,48.68055555555556,53.81481481481482,2.75,-8.212962962962964,-40.083333333333336,4.5,2047,3.625,2033
S,22.5,21.5,19,25,195,-0.006342780026990624,0.0027692307692308306,30.855128205128207,65.08076923076923,3.575641025641026,22.468589743589742,-15.183974358974359,4.315789473684211,1900,3.84,2144
T,21.5,22.0,19,24,130,-0.0012145748987855143,-0.11891025641025636,11.080769230769231,70.88461538461539,-0.03461538461538462,-116.82115384615385,-2.5961538461538463,3.6842105263157894,1610,2.75,1443
U,23.5,22.0,19,24,172,-0.021725826193390373,0.04869186046511631,52.924418604651166,59.00581395348837,-0.9738372093023255,-53.184593023255815,-18.15988372093023,4.894736842105263,2162,2.7083333333333335,1460
V,22.5,22.0,21,24,142,-0.014084507042253523,-0.0313967136150235,34.20774647887324,49.894366197183096,0.9612676056338029,-211.1038732394366,-18.968309859154928,4.333333333333333,2135,2.7916666666666665,1485
W,27.0,22.0,30,24,258,0.007105943152454822,-0.022771317829457367,77.82558139534883,48.79457364341085,-1.1124031007751938,-151.92635658914728,5.3062015503875966,4.4,3103,3.1666666666666665,1827
X,22.5,22.0,21,24,172,-0.0022148394241417535,0.003875968992248069,29.273255813953487,54.72093023255814,0.8197674418604651,44.36046511627907,0.31976744186046513,4.238095238095238,2044,3.4583333333333335,1845
Y,22.5,22.0,21,24,126,-0.019274376417233577,-0.10615079365079365,23.853174603174605,52.70634920634921,0.5277777777777778,-210.71626984126985,-17.52777777777778,3.857142857142857,1940,2.7916666666666665,1485
Z,21.5,22.0,19,24,171,-0.010926438904278177,0.04873294346978563,26.788011695906434,84.63157894736842,-12.391812865497077,60.619883040935676,-2.590643274853801,3.6842105263157894,1610,3.9166666666666665,2038
A,20.5,22.5,23,25,292,0.01533650982727817,0.0438356164383562,36.044520547945204,50.832191780821915,0.7517123287671232,199.62328767123287,18.03681506849315,3.8260869565217392,1970,3.08,1646
B,20.0,22.5,18,25,342,-0.04337231968810921,-0.0004678362573099548,33.09649122807018,58.969298245614034,1.486842105263158,9.711988304093568,-61.259502923976605,4.777777777777778,1963,3.48,1835
C,19.5,22.0,19,26,239,-0.07938780004404315,0.004505954296749228,32.0407949790795,77.88284518828452,-1.610878661087866,13.485355648535565,72.46861924686192,3.9473684210526314,1716,3.0384615384615383,1695
D,21.5,22.5,21,25,350,-0.05346938775510204,-0.0018285714285714504,49.495714285714286,63.25,-0.43142857142857144,-8.142857142857142,-116.87214285714286,4.285714285714286,2039,3.12,1705
E,20.5,22.5,15,25,253,-0.11897233201581017,-0.005454545454545467,22.850790513833992,70.72430830039525,-0.03260869565217391,-4.496541501976284,-55.7149209486166,4.8,1634,3.24,1769
F,18.0,22.5,14,25,223,-0.15502882767456758,-0.07327354260089691,20.367713004484305,57.16479820627803,-5.2152466367713,-28.044843049327355,-106.19282511210763,5.071428571428571,1620,2.76,1449
G,21.0,22.0,22,26,341,0.01572913889629439,0.027859237536656832,47.78299120234604,66.87096774193549,4.316715542521994,59.90615835777126,94.38123167155425,3.8181818181818183,1896,3.5,2016
H,21.0,22.5,20,25,333,-0.012012012012012008,-0.004504504504504467,54.08408408408408,47.240990990990994,0.15015015015015015,-1.5765765765765767,-10.06006006006006,4.6,2090,2.64,1431
I,20.0,22.5,4,25,129,-0.003875968992248069,-0.0038759689922480333,1.9844961240310077,55.474806201550386,-0.1937984496124031,-0.3875968992248062,-2.4224806201550386,17.75,1620,2.0,1090
J,13.5,22.5,9,25,147,0.19841269841269848,0.04993197278911566,8.05952380952381,63.35204081632653,-4.773809523809524,7.999149659863946,70.22874149659864,7.888888888888889,1620,2.2,1125
K,20.5,22.5,19,25,303,-0.1124717734931388,0.000858085808580853,34.53382838283829,54.916666666666664,1.7582508250825082,10.705033003300331,-54.53424092409241,4.947368421052632,2136,2.92,1604
L,18.0,22.5,14,25,190,-0.21541353383458642,0.08273684210526312,21.21578947368421,67.38684210526316,6.676315789473684,29.686842105263157,-121.95394736842105,5.142857142857143,1634,2.4,1260
M,22.5,22.5,29,25,458,0.009787682577924969,-0.012663755458515311,98.1495633187773,52.48144104803494,1.2489082969432315,-92.48307860262008,8.191048034934498,4.517241379310345,2937,3.08,1731
N,21.5,22.5,21,25,353,-0.010454606771887143,-0.006288951841359704,55.02620396600567,51.79674220963173,6.9780453257790365,4.8048866855524075,-15.67528328611898,5.238095238095238,2517,2.68,1463
O,20.0,22.5,24,27,341,0.015029325513196431,-0.011893124796350575,57.71554252199414,66.4024926686217,-2.309384164222874,-10.94574780058651,27.368768328445746,3.7916666666666665,2070,3.111111111111111,1777
P,18.5,22.5,17,25,260,-0.10588235294117651,-0.0941538461538461,32.12692307692308,52.66538461538462,-7.311538461538461,-49.61153846153846,-129.98846153846154,4.764705882352941,1895,2.8,1449
Q,20.0,22.5,26,31,379,-0.00010148163182458567,-0.034768916503532254,64.76781002638522,79.14709762532982,12.312664907651715,-16.447229551451187,76.08905013192611,3.730769230769231,2242,2.870967741935484,1879
R,22.5,22.5,19,25,313,-0.07390280813855722,-0.03175718849840251,35.885782747603834,56.51837060702876,3.551916932907348,7.734424920127796,-63.980431309904155,4.7368421052631575,2013,3.08,1726
S,18.0,22.0,16,26,250,-0.008999999999999897,0.016615384615384563,20.072,68.464,4.896,31.24,-26.704,4.6875,1716,3.1923076923076925,1662
T,20.5,22.5,19,25,189,-0.01796157059314957,-0.13767195767195772,14.906084656084657,77.02248677248677,-0.10449735449735449,-147.65939153439155,-17.413359788359788,3.736842105263158,1620,2.6,1400
U,20.5,22.5,21,25,288,0.0008267195767195579,0.03555555555555557,60.05555555555556,59.24305555555556,0.15104166666666666,-77.80555555555556,1.1536458333333333,4.428571428571429,2159,2.68,1441
V,20.5,22.5,23,25,254,-0.01112632660047923,-0.021259842519685036,36.70669291338583,54.17913385826772,0.32086614173228345,-209.01476377952756,-7.941929133858268,3.9565217391304346,2130,2.76,1482
W,22.0,22.5,36,25,468,-0.005282526115859455,-0.00940170940170944,94.92521367521367,52.083333333333336,0.4775641025641026,-190.13568376068375,-10.551816239316238,3.5555555555555554,2946,3.28,1804
X,20.0,22.5,20,25,277,-0.021841155234656996,-0.004548736462093928,28.63176895306859,58.20667870036101,1.1534296028880866,14.936823104693142,-24.81678700361011,4.5,2044,3.12,1644
Y,20.5,22.5,19,25,212,0.0024826216484606866,-0.07981132075471692,19.316037735849058,56.62735849056604,-0.5212264150943396,-155.74882075471697,5.455188679245283,4.315789473684211,1950,2.6,1400
Z,18.5,22.5,17,25,247,-0.03084067635151216,0.010931174089068775,20.630566801619434,81.08400809716599,-6.525303643724697,21.06831983805668,-31.778846153846153,4.235294117647059,1634,3.4,1719
A,18.5,22.5,21,25,201,0.10056858564321251,0.04308457711442784,38.88681592039801,48.92661691542288,-7.496268656716418,152.1150497512438,104.32898009950249,4.285714285714286,2017,3.04,1577
B,20.0,22.5,18,25,235,0.017966903073285953,0.017957446808510583,30.868085106382978,63.058510638297875,-10.225531914893617,30.612765957446808,0.251063829787234,4.944444444444445,2034,3.56,1915
C,21.5,22.5,19,27,157,-0.13593697619845793,-0.02064166076904928,37.48566878980892,86.75955414012739,-14.546178343949045,-7.330414012738854,-5.683917197452229,4.105263157894737,1769,2.925925925925926,1721
D,22.0,22.5,22,25,227,-0.0010012014417300334,0.011013215859030794,52.3215859030837,68.35572687224669,-15.517621145374449,33.57929515418502,-80.41079295154185,4.181818181818182,2103,3.32,1826
E,21.0,22.5,18,25,169,-0.1416831032215647,0.016923076923076933,25.68639053254438,73.27958579881657,-13.428994082840237,44.298816568047336,-111.82100591715977,3.9444444444444446,1620,3.36,1807
F,20.0,22.5,18,25,144,-0.12924382716049385,-0.09888888888888886,26.17361111111111,61.166666666666664,-15.711805555555555,23.788194444444443,-81.15104166666667,3.9444444444444446,1620,2.96,1585
G,22.5,22.0,23,26,224,-0.011840062111801176,0.028159340659340677,47.69642857142857,71.23214285714286,-9.138392857142858,39.91517857142857,51.933035714285715,3.782608695652174,1955,3.576923076923077,2106
H,22.5,22.5,23,25,208,-0.009197324414715647,-0.001923076923076934,55.58653846153846,45.78846153846154,-9.759615384615385,6.444711538461538,-8.677884615384615,4.086956521739131,2136,2.92,1620
I,15.5,22.5,7,25,85,-0.04789915966386563,-0.02094117647058823,3.2852941176470587,55.167647058823526,-10.985294117647058,5.692647058823529,-10.625,10.142857142857142,1620,2.12,1114
J,16.0,22.5,14,25,101,0.12376237623762368,0.06237623762376231,14.881188118811881,65.95297029702971,-20.321782178217823,-19.212871287128714,33.74009900990099,5.142857142857143,1633,2.4,1230
K,21.0,22.5,20,25,180,-0.09361111111111117,0.0042222222222221715,31.05,56.21666666666667,-10.502777777777778,23.20277777777778,-25.823611111111113,4.75,2158,3.0,1634
L,17.5,22.5,13,25,118,-0.14015645371577576,0.12440677966101689,12.01271186440678,75.41949152542372,-4.122881355932203,84.47245762711864,-71.56567796610169,5.461538461538462,1620,2.52,1301
M,23.5,22.5,33,25,322,-0.00790513833992093,-0.012049689440993773,104.52950310559007,52.44875776397515,-12.093167701863354,-113.84239130434783,-6.854037267080745,4.121212121212121,3064,3.32,1927
N,23.0,22.5,24,25,242,-0.009297520661156966,-0.0056198347107438455,51.30578512396694,52.75413223140496,-3.0289256198347108,3.396694214876033,-12.097107438016529,4.75,2596,2.8,1565
O,23.5,22.5,23,27,235,0.00416281221091576,-0.008274231678487011,61.41595744680851,71.34787234042552,-14.943617021276596,-10.783510638297873,23.879255319148935,4.130434782608695,2160,3.185185185185185,1962
P,18.5,22.5,19,25,172,-0.035189718482252184,-0.09813953488372093,33.93604651162791,54.5406976744186,-20.212209302325583,-36.17732558139535,-34.707848837209305,4.315789473684211,1928,3.04,1580
Q,18.5,24.0,23,30,262,0.03849983405243947,-0.015394402035623382,62.853053435114504,79.66030534351145,-3.8912213740458017,-9.520038167938932,178.69656488549617,4.304347826086956,2191,3.033333333333333,1897
R,21.0,22.5,18,25,210,0.007936507936507908,-0.041904761904761896,31.133333333333333,55.535714285714285,-7.90952380952381,4.538095238095238,40.569047619047616,5.111111111111111,2067,3.12,1720
S,19.5,22.5,17,27,160,0.054044117647058784,-0.00046296296296293663,19.1,77.4,-5.790625,24.521875,42.6671875,4.470588235294118,1723,3.037037037037037,1737
T,22.5,22.5,19,25,131,-0.0801526717557251,-0.17572519083969468,19.303435114503817,82.81488549618321,-6.3683206106870225,-128.18225190839695,-79.32729007633588,3.789473684210526,1653,2.76,1514
U,24.0,23.0,22,26,191,-0.04283674440742499,0.018928715263793805,59.75916230366492,62.42931937172775,-11.99476439790576,-76.92670157068063,-62.43455497382199,4.363636363636363,2193,2.769230769230769,1612
V,23.5,22.5,21,25,169,-0.10326852634544943,-0.02118343195266277,40.88905325443787,53.90680473372781,-9.977810650887575,-162.1087278106509,-111.78476331360947,4.428571428571429,2159,2.68,1507
W,23.0,22.5,34,25,313,-0.06577710956587106,-0.006070287539936032,99.24600638977635,52.7611821086262,-11.130990415335463,-139.34185303514377,-124.87220447284345,3.9705882352941178,3088,3.2,1795
X,21.5,22.5,23,25,181,-0.007326447273600709,-0.00011049723756912045,27.94060773480663,59.277624309392266,-11.667127071823204,22.673342541436465,-4.263121546961326,4.0,2090,3.16,1721
Y,22.5,22.5,17,25,132,-0.11274509803921576,-0.09818181818181813,23.295454545454547,53.65909090909091,-5.534090909090909,-121.75757575757575,-80.33522727272727,4.882352941176471,1974,2.56,1412
Z,19.5,22.5,21,25,175,0.0012244897959184137,0.014514285714285648,27.495714285714286,90.29571428571428,-27.644285714285715,18.170714285714286,7.623571428571428,3.4285714285714284,1653,3.68,1913
A,23.0,19.0,24,28,238,-0.007878151260504248,0.055672268907563015,38.60084033613445,62.02100840336134,0.15126050420168066,269.25210084033614,-10.159663865546218,3.9583333333333335,2293,2.857142857142857,1790
B,23.0,19.5,18,29,273,-0.05962555962555961,-0.0014525704180877155,36.24542124542125,79.40018315018315,3.4853479853479854,17.294871794871796,-126.37087912087912,5.277777777777778,2320,3.0689655172413794,1999
C,18.0,21.5,16,23,121,-0.10123966942148765,0.012756018684872479,26.297520661157026,67.65495867768595,-0.12396694214876033,11.140495867768594,47.264462809917354,4.625,1709,3.3043478260869565,1569
D,20.0,21.5,16,23,177,-0.06179378531073443,-0.01314173421763698,35.429378531073446,56.09180790960452,-0.5790960451977402,-9.454802259887005,-110.37146892655367,5.4375,2022,3.217391304347826,1564
E,21.0,21.5,12,23,147,-0.15306122448979606,-0.001035196687370674,15.959183673469388,63.664965986394556,0.5986394557823129,0.3401360544217687,-64.43197278911565,5.75,1599,3.391304347826087,1684
F,20.5,21.5,11,23,110,-0.21983471074380165,-0.11383399209486163,15.74090909090909,54.14090909090909,-1.7954545454545454,-21.927272727272726,-100.36818181818182,6.2727272727272725,1599,2.869565217391304,1425
G,22.0,21.5,18,23,169,0.013149243918474655,0.03280164651402111,37.218934911242606,58.273668639053255,4.887573964497041,40.337278106508876,69.3491124260355,4.555555555555555,1873,3.739130434782609,1937
H,22.5,21.5,15,23,149,-0.04183445190156595,-0.015027721038809469,37.71308724832215,35.968120805369125,-0.3875838926174497,-12.254194630872483,-28.43204697986577,6.0,2091,2.739130434782609,1395
I,22.0,21.5,2,23,69,0.007246376811593791,-0.007246376811594254,0.6521739130434783,44.25,-0.16666666666666666,-0.16666666666666666,1.9166666666666667,34.5,1599,2.0869565217391304,1056
J,19.5,21.5,7,23,81,0.26190476190476175,0.06253354804079445,6.496913580246914,54.64506172839506,-3.7746913580246915,4.075617283950617,60.89043209876543,10.0,1613,2.3043478260869565,1146
K,21.0,21.5,14,23,146,-0.13600782778864964,-0.0005955926146515614,22.643835616438356,43.63356164383562,0.6712328767123288,2.904109589041096,-28.256849315068493,6.571428571428571,2139,2.9130434782608696,1473
L,20.5,21.5,11,23,97,-0.25538894095595116,0.12707306140744054,17.3840206185567,63.7139175257732,4.384020618556701,26.060567010309278,-98.74355670103093,6.2727272727272725,1599,2.4782608695652173,1236
